"TOTAL_DESC_ID","PROGRAM_ID","AMOUNT"
"4","288","935316.0"
"5","288","951769.0"
"1","289","326364.0"
"2","289","299481.0"
"3","289","306350.0"
"4","289","310440.0"
"5","289","315798.0"
"1","290","301183.0"
"2","290","281634.0"
"3","290","278629.0"
"4","290","295850.0"
"5","290","291611.0"
"1","291","50617.0"
"2","291","68784.0"
"3","291","70311.0"
"4","291","70177.0"
"5","291","71032.0"
"1","292","90734.0"
"2","292","87858.0"
"3","292","89542.0"
"4","292","90649.0"
"5","292","91725.0"
"1","293","13000.0"
"2","293","15000.0"
"3","293","12000.0"
"4","293","10010.0"
"5","293","10160.0"
"1","294","271574.0"
"2","294","290491.0"
"3","294","282393.0"
"4","294","282444.0"
"5","294","282867.0"
"1","297","51636.0"
"2","297","47543.0"
"3","297","47092.0"
"4","297","47389.0"
"5","297","47649.0"
"1","298","5890.0"
"2","298","5604.0"
"3","298","5154.0"
"4","298","5228.0"
"5","298","5271.0"
"1","347","5051.0"
"2","347","4816.0"
"3","347","4819.0"
"4","347","4859.0"
